         10473134 function calls (10377090 primitive calls) in 10.609 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      450    0.001    0.000    0.003    0.000 __init__.py:482(WinError)
       38    0.001    0.000    0.001    0.000 __init__.py:49(create_string_buffer)
      654    0.001    0.000    0.001    0.000 __init__.py:517(cast)
       22    0.000    0.000    0.000    0.000 __init__.py:521(string_at)
       14    0.000    0.000    0.000    0.000 __init__.py:595(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
       14    0.000    0.000    0.000    0.000 __init__.py:669(update)
        7    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       68    0.000    0.000    0.002    0.000 __init__.py:73(import_module)
        2    0.000    0.000    0.005    0.003 _array.py:1117(row_reduce)
     8319    0.005    0.000    0.014    0.000 _array.py:126(_verify_array_like_types_and_values)
     8380    0.011    0.000    0.049    0.000 _array.py:130(_view)
        2    0.000    0.000    0.217    0.108 _array.py:1344(left_null_space)
        2    0.000    0.000    0.217    0.109 _array.py:1410(null_space)
    16760    0.003    0.000    0.003    0.000 _array.py:142(_view_without_verification)
     7245    0.003    0.000    0.007    0.000 _array.py:165(_verify_scalar_value)
       19    0.000    0.000    0.000    0.000 _array.py:170(_verify_array_values)
        1    0.000    0.000    0.000    0.000 _array.py:194(_convert_iterable_to_elements)
        6    0.000    0.000    0.000    0.000 _array.py:300(Identity)
        6    0.000    0.000    0.000    0.000 _array.py:316(Identity)
        1    0.000    0.000    0.000    0.000 _array.py:322(compile)
        1    0.000    0.000    0.000    0.000 _array.py:368(repr)
     7285    0.009    0.000    0.072    0.000 _array.py:38(__new__)
     4138    0.009    0.000    0.030    0.000 _array.py:413(__getitem__)
     1034    0.003    0.000    0.006    0.000 _array.py:423(__setitem__)
    11245    0.004    0.000    0.013    0.000 _array.py:431(__array_finalize__)
        2    0.000    0.000    0.000    0.000 _array.py:445(astype)
      398    0.001    0.000    0.100    0.000 _array.py:469(__isub__)
     1292    0.002    0.000    0.064    0.000 _array.py:475(__mul__)
      300    0.001    0.000    0.024    0.000 _array.py:484(__truediv__)
      286    0.001    0.000    0.146    0.001 _array.py:487(__itruediv__)
        1    0.000    0.000    0.000    0.000 _array.py:494(compile)
        4    0.000    0.000    0.000    0.000 _array.py:523(__matmul__)
        1    0.000    0.000    0.000    0.000 _array.py:526(repr)
     7285    0.004    0.000    0.076    0.000 _array.py:56(__new__)
     7291    0.002    0.000    0.002    0.000 _array.py:61(_get_dtype)
     7285    0.001    0.000    0.001    0.000 _array.py:72(__init__)
        2    0.000    0.000    0.000    0.000 _calculate.py:138(set_calculate_globals)
        5    0.000    0.000    0.000    0.000 _calculate.py:142(calculate)
        1    0.000    0.000    0.000    0.000 _calculate.py:240(set_calculate_globals)
        1    0.000    0.000    0.000    0.000 _calculate.py:332(set_calculate_globals)
        4    0.000    0.000    0.000    0.000 _calculate.py:336(calculate)
      3/1    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        2    0.000    0.000    0.000    0.000 _compiler.py:403(_simple)
        2    0.000    0.000    0.000    0.000 _compiler.py:433(_get_iscased)
        1    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 _compiler.py:472(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
        2    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
        1    0.000    0.000    0.000    0.000 _compiler.py:578(_code)
        1    0.000    0.000    0.000    0.000 _compiler.py:745(compile)
        3    0.000    0.000    0.000    0.000 _conversions.py:24(integer_to_poly)
        2    0.000    0.000    0.000    0.000 _conversions.py:79(poly_to_str)
        2    0.000    0.000    0.000    0.000 _conversions.py:88(sparse_poly_to_str)
        1    0.002    0.002    1.973    1.973 _dense.py:409(__call__)
        1    0.000    0.000    0.222    0.222 _dense.py:424(set_globals)
       64    0.000    0.000    1.975    0.031 _factory.py:351(_GF_prime)
       64    0.000    0.000    1.976    0.031 _factory.py:49(GF)
       52    0.000    0.000    0.000    0.000 _function.py:29(__init__)
        1    0.000    0.000    0.000    0.000 _function.py:343(__init_subclass__)
  907/149    0.001    0.000    0.071    0.000 _function.py:349(__array_function__)
        4    0.000    0.000    0.000    0.000 _function.py:58(key_1)
        3    0.000    0.000    0.000    0.000 _function.py:62(key_2)
        1    0.000    0.000    1.970    1.970 _function.py:79(jit)
   297092    0.028    0.000    0.028    0.000 _function_base_impl.py:5268(_delete_dispatcher)
   297092    1.358    0.000    1.739    0.000 _function_base_impl.py:5272(delete)
      851    0.000    0.000    0.000    0.000 _helper.py:12(verify_isinstance)
        1    0.000    0.000    0.000    0.000 _helper.py:28(verify_issubclass)
        3    0.000    0.000    0.000    0.000 _helper.py:51(verify_literal)
        2    0.000    0.000    0.000    0.000 _interface.py:22(__new__)
        2    0.000    0.000    0.000    0.000 _interface.py:38(fetch)
        4    0.000    0.000    0.000    0.000 _linalg.py:190(__call__)
       24    0.000    0.000    0.000    0.000 _linalg.py:2006(_matrix_rank_dispatcher)
        4    0.000    0.000    0.000    0.000 _linalg.py:21(_lapack_linalg)
       32    0.004    0.000    0.284    0.009 _linalg.py:284(__call__)
        4    0.000    0.000    0.000    0.000 _linalg.py:316(_solve_dispatcher)
       24    0.000    0.000    0.060    0.003 _linalg.py:451(__call__)
        4    0.000    0.000    0.009    0.002 _linalg.py:464(__call__)
        4    0.000    0.000    0.009    0.002 _linalg.py:496(__call__)
        1    0.000    0.000    0.000    0.000 _linalg.py:549(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _lookup.py:148(set_lookup_globals)
        1    0.000    0.000    0.000    0.000 _lookup.py:176(set_lookup_globals)
        1    0.000    0.000    0.000    0.000 _lookup.py:319(_build_lookup_tables)
     3167    0.001    0.000    0.002    0.000 _meta.py:110(characteristic)
     3167    0.000    0.000    0.000    0.000 _meta.py:119(characteristic)
     3154    0.000    0.000    0.000    0.000 _meta.py:127(degree)
     3154    0.001    0.000    0.002    0.000 _meta.py:128(degree)
     7298    0.001    0.000    0.001    0.000 _meta.py:134(order)
     3154    0.000    0.000    0.000    0.000 _meta.py:142(irreducible_poly)
     7298    0.003    0.000    0.004    0.000 _meta.py:146(order)
     2754    0.003    0.000    0.031    0.000 _meta.py:163(primitive_element)
     3154    0.001    0.000    0.002    0.000 _meta.py:164(irreducible_poly)
        1    0.000    0.000    0.000    0.000 _meta.py:170(dtypes)
        1    0.000    0.000    0.000    0.000 _meta.py:177(element_repr)
     6310    0.001    0.000    0.001    0.000 _meta.py:184(ufunc_mode)
        1    0.000    0.000    0.000    0.000 _meta.py:191(ufunc_modes)
        1    0.000    0.000    0.000    0.000 _meta.py:198(default_ufunc_mode)
     2754    0.001    0.000    0.032    0.000 _meta.py:268(primitive_element)
        2    0.000    0.000    0.000    0.000 _meta.py:27(__new__)
        2    0.000    0.000    0.000    0.000 _meta.py:30(__init__)
        1    0.000    0.000    0.000    0.000 _meta.py:471(dtypes)
        1    0.000    0.000    0.000    0.000 _meta.py:512(element_repr)
     6310    0.003    0.000    0.004    0.000 _meta.py:548(ufunc_mode)
        1    0.000    0.000    0.000    0.000 _meta.py:588(ufunc_modes)
        1    0.000    0.000    0.000    0.000 _meta.py:621(default_ufunc_mode)
        4    0.000    0.000    0.000    0.000 _methods.py:67(_all)
        1    0.000    0.000    0.000    0.000 _modular.py:123(_euler_phi)
       64    0.000    0.000    0.000    0.000 _modular.py:228(is_cyclic)
       64    0.000    0.000    0.001    0.000 _modular.py:393(primitive_root)
